name,group,rule_order,node_count,max_classes,down_cost,up_cost,cost_change_frac,down_classes,up_classes,class_change_frac,down_live,up_live,down_apps,up_apps,down_iters,up_iters,down_unions,up_unions,down_stop,up_stop,down_cap,up_cap,up_enqueues,up_edges,down_ms,up_ms
synth_d9_s19,synthetic,production,109,5000,1928,1928,0.000000,470,461,-0.019149,123,123,3102,2989,6,6,347,335,Quiesced,Quiesced,false,false,536,695,7.583,7.748
synth_d9_s20,synthetic,production,147,5000,2004,2004,0.000000,200,198,-0.010000,113,113,376,368,3,3,87,83,Quiesced,Quiesced,false,false,118,253,2.120,2.038
synth_d9_s21,synthetic,production,106,5000,1718,1718,0.000000,163,163,0.000000,79,79,621,621,5,5,84,84,Quiesced,Quiesced,false,false,119,210,2.768,2.744
synth_d9_s22,synthetic,production,101,5000,1133,1133,0.000000,275,273,-0.007273,103,103,2594,2560,9,9,172,170,Quiesced,Quiesced,false,false,241,399,7.143,7.156
synth_d9_s23,synthetic,production,51,5000,442,442,0.000000,64,64,0.000000,34,34,80,80,2,2,30,30,Quiesced,Quiesced,false,false,43,65,0.478,0.455
synth_d9_s24,synthetic,production,206,5000,3157,3157,0.000000,3613,3610,-0.000830,489,492,12456,12321,5,5,3120,3112,ClassCap,ClassCap,true,true,8400,6246,27.853,35.751
synth_d9_s25,synthetic,production,764,5000,10496,10300,-0.018674,3539,3527,-0.003391,1091,1088,7003,6909,3,3,2447,2425,ClassCap,ClassCap,true,true,7450,5443,20.282,23.635
synth_d9_s26,synthetic,production,73,5000,1010,1010,0.000000,205,198,-0.034146,84,84,709,682,4,4,121,114,Quiesced,Quiesced,false,false,158,275,2.644,2.534
synth_d9_s27,synthetic,production,113,5000,1158,1158,0.000000,201,201,0.000000,103,103,708,708,5,5,98,98,Quiesced,Quiesced,false,false,123,260,3.300,3.315
synth_d9_s28,synthetic,production,15,2000,96,96,0.000000,19,19,0.000000,10,10,23,23,2,2,9,9,Quiesced,Quiesced,false,false,12,15,0.144,0.141
synth_d9_s29,synthetic,production,371,5000,4999,4865,-0.026805,4609,4578,-0.006726,1088,1091,8474,8411,4,4,3507,3461,ClassCap,ClassCap,true,true,13556,6841,26.738,36.933
synth_d9_s30,synthetic,production,111,5000,1957,1957,0.000000,178,176,-0.011236,90,90,545,537,4,4,88,86,Quiesced,Quiesced,false,false,127,218,2.461,2.445
synth_d9_s31,synthetic,production,120,5000,1575,1575,0.000000,172,166,-0.034884,88,88,634,600,5,5,84,74,Quiesced,Quiesced,false,false,98,189,2.971,2.841
synth_d9_s32,synthetic,production,318,5000,4175,4175,0.000000,4405,4375,-0.006810,818,811,12396,12354,5,5,3582,3550,ClassCap,ClassCap,true,true,12529,7289,32.621,41.521
synth_d9_s33,synthetic,production,77,5000,1434,1434,0.000000,103,103,0.000000,56,56,216,216,3,3,47,47,Quiesced,Quiesced,false,false,59,119,1.120,1.094
synth_d9_s34,synthetic,production,103,5000,1521,1521,0.000000,385,382,-0.007792,114,114,2467,2411,6,6,271,266,Quiesced,Quiesced,false,false,395,575,6.460,6.631
synth_d9_s35,synthetic,production,267,5000,3098,3098,0.000000,1326,1314,-0.009050,292,292,14709,14462,9,9,1034,1017,Quiesced,Quiesced,false,false,1687,2194,30.879,31.359
synth_d9_s36,synthetic,production,156,5000,1142,1142,0.000000,1199,1198,-0.000834,219,219,13428,13420,9,9,980,979,Quiesced,Quiesced,false,false,2100,2012,25.509,26.883
synth_d9_s37,synthetic,production,176,5000,2419,2419,0.000000,919,909,-0.010881,181,181,12874,12763,11,11,738,727,Quiesced,Quiesced,false,false,1300,1560,25.055,25.656
synth_d9_s38,synthetic,production,104,5000,1622,1622,0.000000,138,136,-0.014493,78,78,261,253,3,3,60,55,Quiesced,Quiesced,false,false,83,165,1.488,1.438
synth_d9_s39,synthetic,production,179,5000,2296,2296,0.000000,282,275,-0.024823,135,135,1093,1065,5,5,147,138,Quiesced,Quiesced,false,false,177,362,4.643,4.563
synth_d11_s0,synthetic,production,279,5000,4028,4028,0.000000,582,568,-0.024055,234,234,3263,3153,6,6,348,331,Quiesced,Quiesced,false,false,440,815,10.958,10.809
synth_d11_s1,synthetic,production,206,5000,2962,2962,0.000000,3998,3971,-0.006753,660,662,9008,8910,4,4,3332,3296,ClassCap,ClassCap,true,true,11148,6666,20.571,29.822
synth_d11_s2,synthetic,production,19,2000,147,147,0.000000,26,26,0.000000,12,12,64,64,3,3,14,14,Quiesced,Quiesced,false,false,19,20,0.298,0.276
