kernel,family,b_lo,b_hi,live_lo,live_hi,objective_witness,objective_greedy,delta_objective,dag_witness,dag_greedy,delta_dag,occupied,merges,divergences,frontier,best_single_swap,greedy_swaps,swaps_accepted,witness_kind,realizable,first_class,first_label,first_stage,first_rule
shader_metaballs,shader,10000,100000,46,73,7281920,14496000,-7214080,140,270,-130,46,0,8,3,13578496,12655872,3,objective,PARTIAL,35,CYCLE-PRICED,repair,associative(Mul)
shader_metaballs,shader,20000,100000,45,73,7019776,14496000,-7476224,136,270,-134,45,0,8,3,13578496,12655872,3,objective,PARTIAL,35,CYCLE-PRICED,repair,associative(Mul)
shader_metaballs,shader,50000,100000,75,73,9530880,14496000,-4965120,255,270,-15,75,0,22,6,13840640,13840640,1,objective,PARTIAL,114,CYCLE-PRICED,repair,distribute
shader_julia_set,shader,5000,10000,123,140,45226752,50663936,-5437184,717,791,-74,123,0,37,4,50598400,50598400,1,objective,PARTIAL,27,COORDINATED,min-of-two,factor
shader_julia_set,shader,5000,50000,123,170,45226752,55980544,-10753792,717,904,-187,123,0,46,3,54933248,54669824,2,objective,PARTIAL,743,CYCLE-PRICED,min-of-two,associative(Mul)
shader_julia_set,shader,10000,50000,140,170,50663936,55980544,-5316608,791,904,-113,140,0,63,4,55259648,54668544,2,objective,PARTIAL,2493,CYCLE-PRICED,min-of-two,reverse-associative(Add)
shader_julia_set,shader,20000,50000,118,170,43459072,55980544,-12521472,697,904,-207,118,0,35,3,54933248,54933248,1,objective,PARTIAL,743,CYCLE-PRICED,min-of-two,associative(Mul)
shader_julia_set,shader,5000,100000,123,174,45226752,61214208,-15987456,717,948,-231,123,0,49,4,60952064,60952064,1,objective,PARTIAL,205,CYCLE-PRICED,repair,fma-fusion
shader_julia_set,shader,10000,100000,140,174,50663936,61214208,-10550272,791,948,-157,140,0,71,4,60296704,60296704,1,objective,PARTIAL,2493,CYCLE-PRICED,repair,factor
shader_julia_set,shader,20000,100000,118,174,43459072,61214208,-17755136,697,948,-251,118,0,50,4,60689920,60689920,1,objective,PARTIAL,205,CYCLE-PRICED,repair,fma-fusion
shader_julia_set,shader,50000,100000,170,174,53685760,61214208,-7528448,904,948,-44,162,8,73,4,60689920,60689920,1,objective,PARTIAL,205,CYCLE-PRICED,repair,fma-fusion
psychedelic_packed,psychedelic,5000,10000,112,111,750939309,750944705,-5396,825,826,-1,112,0,1,1,750939309,750939309,1,objective,REALIZABLE-1,1266,DISTRACTOR,min-of-two,reverse-associative(Add)
psychedelic_packed,psychedelic,5000,20000,112,111,750939309,750944708,-5399,825,829,-4,112,0,2,2,750939308,750939308,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
