kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U003D,glyph16,5000,97,3763,55,11780,ClassCap,23503,148,41010,TreeCheaper,23503,148,20,0.111
glyph16_U003E,glyph16,10000,178,4657,142,31208,ClassCap,49347,462,63067,TreeCheaper,49539,474,60,0.284
glyph16_U003E,glyph16,20000,178,5726,138,58222,Quiesced,49335,450,63019,TreeCheaper,49527,462,57,1.402
glyph16_U003E,glyph16,5000,178,3088,157,9133,ClassCap,49696,571,63446,TreeCheaper,49696,571,58,0.063
glyph16_U003F,glyph16,10000,1928,9759,1683,7579,ClassCap,403697,7487,1046647,Shared,405931,7636,430,0.029
glyph16_U003F,glyph16,20000,1928,18861,1594,25855,ClassCap,400888,6868,902048,Shared,398056,6766,612,0.443
glyph16_U003F,glyph16,5000,1928,4995,1863,2890,ClassCap,436483,8203,1498951,Shared,437683,8278,891,0.018
glyph16_U0040,glyph16,10000,3513,9962,3393,6257,ClassCap,760570,15355,2926378,Shared,764730,15615,1505,0.037
glyph16_U0040,glyph16,20000,3513,19508,3004,15811,ClassCap,717660,13815,1869295,Shared,723503,14138,722,0.056
glyph16_U0040,glyph16,5000,3513,5000,3432,1380,ClassCap,3837896,15236,48737049,TreeCheaper,3837896,15236,851,0.020
glyph16_U0041,glyph16,10000,164,6007,150,24717,ClassCap,47724,609,52752,TreeCheaper,47724,609,58,0.493
glyph16_U0041,glyph16,20000,164,13000,128,83169,ClassCap,44968,403,52380,TreeCheaper,44968,403,52,9.021
glyph16_U0041,glyph16,5000,164,3699,160,9718,ClassCap,48108,633,53340,TreeCheaper,48108,633,56,0.086
glyph16_U0042,glyph16,10000,1820,9750,1553,7791,ClassCap,369133,7033,944415,Shared,371795,7190,387,0.028
glyph16_U0042,glyph16,20000,1820,19002,1504,25611,ClassCap,364969,6559,848770,Shared,362265,6465,593,0.517
glyph16_U0042,glyph16,5000,1820,4990,1749,3044,ClassCap,394288,7813,1431996,Shared,396373,7948,813,0.017
glyph16_U0043,glyph16,10000,1807,9756,1548,7797,ClassCap,361705,7075,968438,Shared,364997,7262,394,0.028
glyph16_U0043,glyph16,20000,1807,19108,1497,25673,ClassCap,358244,6584,871386,Shared,355476,6486,582,0.390
glyph16_U0043,glyph16,5000,1807,4994,1747,3023,ClassCap,387943,7858,1514588,Shared,390220,8005,805,0.017
glyph16_U0044,glyph16,10000,939,9371,772,13505,ClassCap,191705,3335,433004,Shared,190025,3305,303,0.171
glyph16_U0044,glyph16,20000,939,18017,768,26661,ClassCap,185008,3388,566902,Shared,184512,3432,254,0.235
glyph16_U0044,glyph16,5000,939,4870,814,3915,ClassCap,193819,3649,491493,Shared,195190,3730,213,0.014
glyph16_U0045,glyph16,10000,134,7146,83,31722,ClassCap,34606,226,48092,TreeCheaper,34606,226,30,0.672
glyph16_U0045,glyph16,20000,134,14803,83,64297,ClassCap,34606,226,48092,TreeCheaper,34606,226,30,4.035
glyph16_U0045,glyph16,5000,134,3531,83,15297,ClassCap,34606,226,48092,TreeCheaper,34606,226,29,0.137
glyph16_U0046,glyph16,10000,118,6855,72,29586,ClassCap,29881,196,41762,TreeCheaper,29881,196,26,0.624
glyph16_U0046,glyph16,20000,118,15019,72,60643,ClassCap,29881,196,41762,TreeCheaper,29881,196,26,3.509
glyph16_U0046,glyph16,5000,118,3184,72,14175,ClassCap,29881,196,41762,TreeCheaper,29881,196,25,0.117
glyph16_U0047,glyph16,10000,1854,9758,1597,7743,ClassCap,379426,7201,994888,Shared,383021,7421,412,0.028
glyph16_U0047,glyph16,20000,1854,18874,1538,26010,ClassCap,376509,6669,889030,Shared,373501,6556,592,0.427
glyph16_U0047,glyph16,5000,1854,4994,1782,2983,ClassCap,406546,7936,1502710,Shared,408370,8050,844,0.017
glyph16_U0048,glyph16,10000,118,6671,68,29752,ClassCap,32985,195,50652,TreeCheaper,32985,195,28,0.658
glyph16_U0048,glyph16,20000,118,14456,68,60456,ClassCap,32985,195,50652,TreeCheaper,32985,195,28,3.469
glyph16_U0048,glyph16,5000,118,3202,68,14395,ClassCap,32985,195,50652,TreeCheaper,32985,195,27,0.121
glyph16_U0049,glyph16,10000,122,6682,70,30071,ClassCap,33081,201,50652,TreeCheaper,33081,201,28,0.684
glyph16_U0049,glyph16,20000,122,14767,70,60869,ClassCap,33081,201,50652,TreeCheaper,33081,201,28,3.539
glyph16_U0049,glyph16,5000,122,3224,70,14634,ClassCap,33081,201,50652,TreeCheaper,33081,201,27,0.135
glyph16_U004A,glyph16,10000,982,9414,805,13268,ClassCap,207491,3461,430816,TreeCheaper,205363,3403,333,0.094
glyph16_U004A,glyph16,20000,982,17889,810,26400,ClassCap,197786,3506,588604,Shared,196634,3509,273,0.141
glyph16_U004A,glyph16,5000,982,4878,867,3864,ClassCap,209915,3830,593610,Shared,211595,3935,233,0.014
glyph16_U004B,glyph16,10000,190,6284,160,26202,ClassCap,54297,612,65062,TreeCheaper,54297,612,60,0.478
glyph16_U004B,glyph16,20000,190,12677,154,55717,ClassCap,54197,512,64812,TreeCheaper,54197,512,65,3.540
glyph16_U004B,glyph16,5000,190,3750,171,10620,ClassCap,54634,649,65603,TreeCheaper,54634,649,61,0.094
glyph16_U004C,glyph16,10000,87,7929,55,39589,ClassCap,22996,151,29102,TreeCheaper,22996,151,21,1.624
glyph16_U004C,glyph16,20000,87,12207,55,52348,ClassCap,22996,151,29102,TreeCheaper,22996,151,21,3.199
glyph16_U004C,glyph16,5000,87,2666,55,12137,ClassCap,22996,151,29102,TreeCheaper,22996,151,20,0.092
glyph16_U004D,glyph16,10000,175,6023,147,25362,ClassCap,56353,553,65992,TreeCheaper,56353,553,59,0.406
glyph16_U004D,glyph16,20000,175,12091,142,53598,ClassCap,56273,473,65792,TreeCheaper,56273,473,64,2.950
glyph16_U004D,glyph16,5000,175,3654,159,10275,ClassCap,56634,594,66452,TreeCheaper,56634,594,62,0.086
glyph16_U004E,glyph16,10000,130,7447,93,34035,ClassCap,41159,284,51252,TreeCheaper,41159,284,41,0.781
