name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
glyph16:U+0071,glyph,5046,5000,ClassCap,true,4992,2802,4992,5041,1.7816,9172
glyph16:U+0072,glyph,2456,5000,ClassCap,true,4912,1804,4912,5158,2.7228,4180
glyph16:U+0073,glyph,6929,5000,ClassCap,true,5000,3201,5000,5088,1.5620,12680
glyph16:U+0074,glyph,2421,5000,ClassCap,true,4905,1796,4905,5142,2.7311,4109
glyph16:U+0075,glyph,2493,5000,ClassCap,true,4898,1809,4898,5116,2.7076,4153
glyph16:U+0076,glyph,1115,5000,ClassCap,true,4236,1182,4236,4416,3.5838,1760
glyph16:U+0077,glyph,3663,5000,ClassCap,true,4937,2492,4937,4971,1.9811,6602
glyph16:U+0078,glyph,343,5000,ClassCap,true,3590,620,3590,3918,5.7903,639
glyph16:U+0079,glyph,3530,5000,ClassCap,true,4915,2436,4915,4942,2.0177,6403
glyph16:U+007A,glyph,255,5000,ClassCap,true,3358,459,3358,3603,7.3159,393
glyph16:U+007B,glyph,4598,5000,ClassCap,true,4984,2694,4984,5032,1.8500,8205
glyph16:U+007C,glyph,119,5000,Quiesced,false,1044,112,1044,1178,9.3214,133
glyph16:U+007D,glyph,4598,5000,ClassCap,true,4983,2688,4983,5024,1.8538,8215
glyph16:U+007E,glyph,5093,5000,ClassCap,true,4996,2812,4996,5047,1.7767,9370
glyph32:U+0020,glyph,1,500,Quiesced,false,1,1,1,1,1.0000,0
glyph32:U+0021,glyph,1927,5000,ClassCap,true,4703,1352,4703,4925,3.4786,3125
glyph32:U+0022,glyph,199,5000,ClassCap,true,2888,421,2888,3112,6.8599,310
glyph32:U+0023,glyph,615,5000,ClassCap,true,4309,826,4309,4674,5.2167,1014
glyph32:U+0024,glyph,7185,5000,ClassCap,true,5000,3246,5000,5075,1.5404,13131
glyph32:U+0025,glyph,7327,5000,ClassCap,true,5000,3186,5000,5085,1.5694,12640
glyph32:U+0026,glyph,9420,5000,ClassCap,true,5000,4308,5000,5003,1.1606,17979
glyph32:U+0027,glyph,127,5000,ClassCap,true,3566,582,3566,3759,6.1271,171
glyph32:U+0028,glyph,1855,5000,ClassCap,true,4719,1379,4719,4920,3.4220,3039
glyph32:U+0029,glyph,1855,5000,ClassCap,true,4718,1378,4718,4927,3.4238,3039
glyph32:U+002A,glyph,559,5000,ClassCap,true,4480,1002,4480,4828,4.4711,1143
glyph32:U+002B,glyph,247,5000,ClassCap,true,2055,244,2055,2244,8.4221,319
glyph32:U+002C,glyph,1694,5000,ClassCap,true,4678,1366,4678,4872,3.4246,2779
glyph32:U+002D,glyph,119,5000,Quiesced,false,1034,116,1034,1164,8.9138,133
glyph32:U+002E,glyph,1855,5000,ClassCap,true,4681,1354,4680,4894,3.4572,2881
glyph32:U+002F,glyph,127,5000,ClassCap,true,3444,447,3443,3635,7.7047,166
glyph32:U+0030,glyph,5402,5000,ClassCap,true,5000,2903,5000,5061,1.7224,9970
glyph32:U+0031,glyph,1452,5000,ClassCap,true,4418,1323,4418,4654,3.3394,2520
glyph32:U+0032,glyph,3891,5000,ClassCap,true,4945,2533,4945,4974,1.9522,6980
glyph32:U+0033,glyph,6993,5000,ClassCap,true,5000,3209,5000,5091,1.5581,12797
glyph32:U+0034,glyph,1637,5000,ClassCap,true,4557,1337,4557,4794,3.4084,2751
glyph32:U+0035,glyph,4546,5000,ClassCap,true,4981,2683,4981,5017,1.8565,8145
glyph32:U+0036,glyph,8067,5000,ClassCap,true,5000,3663,5000,5058,1.3650,15249
glyph32:U+0037,glyph,191,5000,ClassCap,true,2791,377,2791,3006,7.4032,288
glyph32:U+0038,glyph,9774,5000,ClassCap,true,5000,4420,5000,5002,1.1312,18500
glyph32:U+0039,glyph,8267,5000,ClassCap,true,5000,3774,5000,5036,1.3249,15698
glyph32:U+003A,glyph,3655,5000,ClassCap,true,4854,2312,4854,4871,2.0995,6228
glyph32:U+003B,glyph,3494,5000,ClassCap,true,4855,2307,4855,4876,2.1045,6080
glyph32:U+003C,glyph,295,5000,ClassCap,true,2697,420,2697,2969,6.4214,514
glyph32:U+003D,glyph,183,5000,Quiesced,false,1514,172,1514,1672,8.8023,231
glyph32:U+003E,glyph,295,5000,ClassCap,true,2711,421,2711,2980,6.4394,519
glyph32:U+003F,glyph,6716,5000,ClassCap,true,5000,3176,5000,5083,1.5743,12176
glyph32:U+0040,glyph,12056,5000,ClassCap,true,5226,5226,5226,5226,1.0000,23527
glyph32:U+0041,glyph,1605,5000,ClassCap,true,4509,1340,4509,4734,3.3649,2672
glyph32:U+0042,glyph,4470,5000,ClassCap,true,4975,2650,4975,5016,1.8774,7970
glyph32:U+0043,glyph,5129,5000,ClassCap,true,4996,2830,4996,5047,1.7654,9459
