kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U002B,glyph16,20000,124,11354,73,426407,ClassCap,33145,205,50876,TreeCheaper,33145,205,27,3.572
glyph16_U002C,glyph16,5000,114,2553,93,13534,ClassCap,32249,314,37690,TreeCheaper,32249,314,35,0.071
glyph16_U002C,glyph16,10000,114,2752,88,28182,Quiesced,32211,276,37576,TreeCheaper,32211,276,36,0.196
glyph16_U002C,glyph16,20000,114,2752,88,28182,Quiesced,32211,276,37576,TreeCheaper,32211,276,36,0.196
glyph16_U002D,glyph16,5000,74,1138,47,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,16,0.070
glyph16_U002D,glyph16,10000,74,1138,47,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,16,0.069
glyph16_U002D,glyph16,20000,74,1138,47,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,16,0.069
glyph16_U002E,glyph16,5000,70,3542,43,18244,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,0.197
glyph16_U002E,glyph16,10000,70,7497,43,36511,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,1.250
glyph16_U002E,glyph16,20000,70,10949,43,46386,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,2.339
glyph16_U002F,glyph16,5000,84,2981,66,11709,ClassCap,20202,222,23638,TreeCheaper,20202,222,23,0.086
glyph16_U002F,glyph16,10000,84,7891,61,37598,ClassCap,20164,184,23524,TreeCheaper,20164,184,23,0.697
glyph16_U002F,glyph16,20000,84,15406,61,72555,ClassCap,20164,184,23524,TreeCheaper,20164,184,23,2.691
glyph16_U0030,glyph16,5000,2514,5000,2408,2286,ClassCap,573199,10954,2261504,Shared,573199,10954,1388,0.019
glyph16_U0030,glyph16,10000,2514,9924,2491,6851,ClassCap,528926,11351,3045406,Shared,531720,11535,1006,0.033
glyph16_U0030,glyph16,20000,2514,19627,2027,23013,ClassCap,508048,9058,1246272,Shared,513456,9396,651,0.684
glyph16_U0031,glyph16,5000,157,3104,133,9593,ClassCap,48820,445,59224,TreeCheaper,48820,445,51,0.081
glyph16_U0031,glyph16,10000,157,5255,122,22547,ClassCap,48722,407,58962,TreeCheaper,48722,407,47,0.309
glyph16_U0031,glyph16,20000,157,14670,116,75769,ClassCap,48674,359,58838,TreeCheaper,48674,359,48,6.370
