name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
glyph16:U+005A,glyph16,live,255,ClassCap(Live),5513,697,5513,5824,943600,28066,5,4791,383,391516333
glyph16:U+005B,glyph16,allocated,183,Quiesced,1519,175,1519,1677,264040,21494,7,1336,234,48967083
glyph16:U+005B,glyph16,live,183,Quiesced,1519,175,1519,1677,264040,21494,7,1336,234,49220375
glyph16:U+005C,glyph16,allocated,127,ClassCap(Allocated),3444,447,3443,3635,589236,18357,5,2972,166,210343417
glyph16:U+005C,glyph16,live,127,ClassCap(Live),6235,653,6234,6508,1062716,38385,6,5550,138,1129282584
glyph16:U+005D,glyph16,allocated,183,Quiesced,1517,177,1517,1675,263704,21364,7,1332,244,49085792
glyph16:U+005D,glyph16,live,183,Quiesced,1517,177,1517,1675,263704,21364,7,1332,244,48878416
glyph16:U+005E,glyph16,allocated,199,ClassCap(Allocated),2891,420,2891,3116,498288,12176,4,2457,319,87027875
glyph16:U+005E,glyph16,live,199,ClassCap(Live),5184,717,5184,5442,885360,23737,5,4453,299,311998792
glyph16:U+005F,glyph16,allocated,119,ClassCap(Allocated),2994,321,2994,3172,512960,23449,6,2664,129,311674792
glyph16:U+005F,glyph16,live,119,ClassCap(Live),4836,566,4836,5076,825888,38923,7,4261,129,729024667
glyph16:U+0060,glyph16,allocated,1722,ClassCap(Allocated),4689,1342,4689,4902,799680,6355,2,3316,2827,23129958
glyph16:U+0060,glyph16,live,1722,ClassCap(Live),7242,2016,7242,7488,1230432,11185,2,5195,2768,29997625
glyph16:U+0061,glyph16,allocated,5743,ClassCap(Allocated),5000,3007,5000,5059,843304,2411,1,1981,10612,16514125
glyph16:U+0061,glyph16,live,5743,ClassCap(Live),8140,3907,8140,8199,1370824,5560,1,4179,10414,24203333
glyph16:U+0062,glyph16,allocated,5129,ClassCap(Allocated),4995,2824,4995,5043,841848,2720,1,2111,9434,16204459
glyph16:U+0062,glyph16,live,5129,ClassCap(Live),7841,3524,7841,7890,1320032,5631,1,4257,9228,22297041
glyph16:U+0063,glyph16,allocated,4671,ClassCap(Allocated),4984,2700,4984,5027,839720,2923,1,2228,8419,15783083
glyph16:U+0063,glyph16,live,4671,ClassCap(Live),7298,3265,7298,7341,1228472,5288,1,3977,8409,20781834
glyph16:U+0064,glyph16,allocated,5864,ClassCap(Allocated),5000,3022,5000,5064,843584,2388,1,1971,10763,16585208
glyph16:U+0064,glyph16,live,5864,ClassCap(Live),8182,3940,8182,8246,1378160,5577,1,4187,10560,24535625
glyph16:U+0065,glyph16,allocated,4872,ClassCap(Allocated),4989,2751,4989,5034,840672,2865,1,2185,8766,16113042
glyph16:U+0065,glyph16,live,4872,ClassCap(Live),7585,3387,7585,7630,1276800,5455,1,4145,8756,21902750
glyph16:U+0066,glyph16,allocated,2364,ClassCap(Allocated),4880,1682,4880,5126,833616,5469,2,3153,3955,26931750
glyph16:U+0066,glyph16,live,2364,ClassCap(Live),8554,2399,8554,8828,1452416,13251,2,6110,3875,38082833
glyph16:U+0067,glyph16,allocated,7009,ClassCap(Allocated),5000,3208,5000,5073,844088,1951,1,1792,12799,16714166
glyph16:U+0067,glyph16,live,7009,ClassCap(Live),8366,4282,8366,8436,1409408,5329,1,4028,12607,25693541
glyph16:U+0068,glyph16,allocated,2931,ClassCap(Allocated),4717,2082,4717,4741,793800,3472,1,2586,5045,13444125
glyph16:U+0068,glyph16,live,2931,ClassCap(Live),9818,2744,9818,10114,1666000,14780,2,7015,4751,44235667
glyph16:U+0069,glyph16,allocated,2123,ClassCap(Allocated),4727,1455,4727,4988,808752,6347,2,3231,3510,26198167
glyph16:U+0069,glyph16,live,2123,ClassCap(Live),7925,2225,7925,8208,1347248,12301,2,5659,3434,34532750
glyph16:U+006A,glyph16,allocated,4293,ClassCap(Allocated),4971,2597,4971,5001,836808,3014,1,2317,7523,15630000
glyph16:U+006A,glyph16,live,4293,ClassCap(Live),6782,3013,6782,6813,1141112,4994,1,3712,7523,19184375
glyph16:U+006B,glyph16,allocated,1460,ClassCap(Allocated),4460,1306,4460,4687,761992,6789,2,3125,2517,22362000
